x(mm) y(mm) z(mm) px py pz E(MeV)
100.000000 -1.401536 -0.475972 -1.000000 0.000000 0.000000 1.000000
100.000000 2.804596 0.206418 -1.000000 0.000000 0.000000 1.000000
100.000000 0.320672 -0.207748 -1.000000 0.000000 0.000000 1.000000
100.000000 1.720129 2.377559 -1.000000 0.000000 0.000000 1.000000
100.000000 0.283479 1.754113 -1.000000 0.000000 0.000000 1.000000
100.000000 3.776148 0.328251 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.294600 1.396572 -1.000000 0.000000 0.000000 1.000000
100.000000 1.924233 -2.925531 -1.000000 0.000000 0.000000 1.000000
100.000000 0.584483 -0.825405 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.844034 1.171223 -1.000000 0.000000 0.000000 1.000000
100.000000 0.270027 1.958033 -1.000000 0.000000 0.000000 1.000000
100.000000 0.055664 2.599888 -1.000000 0.000000 0.000000 1.000000
100.000000 0.599942 -0.163333 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.911125 0.319725 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.711940 -0.922436 -1.000000 0.000000 0.000000 1.000000
100.000000 0.087241 -1.768062 -1.000000 0.000000 0.000000 1.000000
100.000000 -4.066752 1.952210 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.244289 -0.584776 -1.000000 0.000000 0.000000 1.000000
100.000000 1.074217 -0.842671 -1.000000 0.000000 0.000000 1.000000
100.000000 0.533374 0.370383 -1.000000 0.000000 0.000000 1.000000
100.000000 0.320186 -0.834922 -1.000000 0.000000 0.000000 1.000000
100.000000 1.241767 0.138253 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.630401 -0.637559 -1.000000 0.000000 0.000000 1.000000
100.000000 0.213617 -1.555040 -1.000000 0.000000 0.000000 1.000000
100.000000 1.096850 0.822448 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.862471 1.219484 -1.000000 0.000000 0.000000 1.000000
100.000000 0.373376 0.276310 -1.000000 0.000000 0.000000 1.000000
100.000000 0.656066 -2.257571 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.559740 -0.130657 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.059766 -0.915363 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.405301 -2.512533 -1.000000 0.000000 0.000000 1.000000
100.000000 1.064890 0.670761 -1.000000 0.000000 0.000000 1.000000
100.000000 1.502946 -0.221694 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.469277 3.261295 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.708856 -1.227539 -1.000000 0.000000 0.000000 1.000000
100.000000 0.626542 1.350657 -1.000000 0.000000 0.000000 1.000000
100.000000 0.884341 2.470362 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.268280 0.882318 -1.000000 0.000000 0.000000 1.000000
100.000000 1.604752 -1.202185 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.167066 -1.038982 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.909012 1.026981 -1.000000 0.000000 0.000000 1.000000
100.000000 1.280448 -2.094142 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.792199 -0.600724 -1.000000 0.000000 0.000000 1.000000
100.000000 1.240908 -1.597081 -1.000000 0.000000 0.000000 1.000000
100.000000 0.510615 0.721638 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.409935 2.744885 -1.000000 0.000000 0.000000 1.000000
100.000000 0.634691 1.409129 -1.000000 0.000000 0.000000 1.000000
100.000000 1.755863 0.418283 -1.000000 0.000000 0.000000 1.000000
100.000000 0.685521 1.083941 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.215253 0.177485 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.537545 0.839446 -1.000000 0.000000 0.000000 1.000000
100.000000 0.070963 1.006255 -1.000000 0.000000 0.000000 1.000000
100.000000 1.345441 0.252904 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.921155 1.226613 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.278670 -1.340268 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.738278 0.911956 -1.000000 0.000000 0.000000 1.000000
100.000000 2.129100 0.735752 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.140223 0.619679 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.957827 -1.222302 -1.000000 0.000000 0.000000 1.000000
100.000000 0.434669 -0.121651 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.610891 -1.552403 -1.000000 0.000000 0.000000 1.000000
100.000000 2.099154 0.973469 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.808300 2.040295 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.231360 1.648409 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.547206 -0.570212 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.415648 1.354945 -1.000000 0.000000 0.000000 1.000000
100.000000 0.390997 1.926721 -1.000000 0.000000 0.000000 1.000000
100.000000 0.507481 -1.401002 -1.000000 0.000000 0.000000 1.000000
100.000000 0.040639 1.997264 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.986558 1.017290 -1.000000 0.000000 0.000000 1.000000
100.000000 4.985408 2.597389 -1.000000 0.000000 0.000000 1.000000
100.000000 1.503047 -0.952993 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.579472 0.327989 -1.000000 0.000000 0.000000 1.000000
100.000000 0.045650 0.723012 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.622974 0.393534 -1.000000 0.000000 0.000000 1.000000
100.000000 0.211047 -0.055391 -1.000000 0.000000 0.000000 1.000000
100.000000 1.943122 -0.292606 -1.000000 0.000000 0.000000 1.000000
100.000000 1.582193 -0.027886 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.064407 0.146580 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.395836 -1.106662 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.112573 -1.436996 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.699009 1.860611 -1.000000 0.000000 0.000000 1.000000
