x(mm) y(mm) z(mm) px py pz E(MeV)
1.502961 0.000000 6.431105 0.000000 -1.000000 0.000000 1.000000
0.284400 0.000000 -4.061675 0.000000 -1.000000 0.000000 1.000000
0.662456 0.000000 -7.037184 0.000000 -1.000000 0.000000 1.000000
1.362024 0.000000 -6.643742 0.000000 -1.000000 0.000000 1.000000
1.622030 0.000000 4.383776 0.000000 -1.000000 0.000000 1.000000
-0.271794 0.000000 3.815791 0.000000 -1.000000 0.000000 1.000000
0.328595 0.000000 -4.989185 0.000000 -1.000000 0.000000 1.000000
-1.492587 0.000000 -6.593314 0.000000 -1.000000 0.000000 1.000000
-1.252446 0.000000 3.955824 0.000000 -1.000000 0.000000 1.000000
-1.028659 0.000000 4.389922 0.000000 -1.000000 0.000000 1.000000
-0.338154 0.000000 5.200730 0.000000 -1.000000 0.000000 1.000000
0.261887 0.000000 -3.614812 0.000000 -1.000000 0.000000 1.000000
-0.923176 0.000000 -3.741315 0.000000 -1.000000 0.000000 1.000000
0.744186 0.000000 7.120326 0.000000 -1.000000 0.000000 1.000000
1.019796 0.000000 -4.191774 0.000000 -1.000000 0.000000 1.000000
1.040659 0.000000 -4.655012 0.000000 -1.000000 0.000000 1.000000
-1.007029 0.000000 3.934400 0.000000 -1.000000 0.000000 1.000000
1.146183 0.000000 4.487337 0.000000 -1.000000 0.000000 1.000000
0.506960 0.000000 -3.536411 0.000000 -1.000000 0.000000 1.000000
-1.048772 0.000000 4.855498 0.000000 -1.000000 0.000000 1.000000
-1.133336 0.000000 -4.724584 0.000000 -1.000000 0.000000 1.000000
-1.158441 0.000000 -4.261411 0.000000 -1.000000 0.000000 1.000000
1.119962 0.000000 4.953055 0.000000 -1.000000 0.000000 1.000000
1.170324 0.000000 4.027680 0.000000 -1.000000 0.000000 1.000000
-0.249364 0.000000 3.376883 0.000000 -1.000000 0.000000 1.000000
-1.637781 0.000000 -4.063160 0.000000 -1.000000 0.000000 1.000000
0.997607 0.000000 -3.741176 0.000000 -1.000000 0.000000 1.000000
0.350146 0.000000 -5.457574 0.000000 -1.000000 0.000000 1.000000
-0.001030 0.000000 -3.459447 0.000000 -1.000000 0.000000 1.000000
0.928721 0.000000 3.605263 0.000000 -1.000000 0.000000 1.000000
-0.001460 0.000000 3.516066 0.000000 -1.000000 0.000000 1.000000
1.059815 0.000000 -5.122780 0.000000 -1.000000 0.000000 1.000000
-1.181783 0.000000 -3.806072 0.000000 -1.000000 0.000000 1.000000
0.021015 0.000000 -3.896907 0.000000 -1.000000 0.000000 1.000000
-0.734147 0.000000 -7.289823 0.000000 -1.000000 0.000000 1.000000
-1.371436 0.000000 7.017267 0.000000 -1.000000 0.000000 1.000000
-0.023563 0.000000 3.954366 0.000000 -1.000000 0.000000 1.000000
0.020601 0.000000 3.083360 0.000000 -1.000000 0.000000 1.000000
-0.984221 0.000000 3.491386 0.000000 -1.000000 0.000000 1.000000
1.464269 0.000000 6.971762 0.000000 -1.000000 0.000000 1.000000
-1.106229 0.000000 -5.192023 0.000000 -1.000000 0.000000 1.000000
1.235628 0.000000 -3.650911 0.000000 -1.000000 0.000000 1.000000
-0.022996 0.000000 -3.029257 0.000000 -1.000000 0.000000 1.000000
-0.738290 0.000000 3.635191 0.000000 -1.000000 0.000000 1.000000
-1.067420 0.000000 5.325570 0.000000 -1.000000 0.000000 1.000000
1.642944 0.000000 3.926151 0.000000 -1.000000 0.000000 1.000000
-0.499344 0.000000 3.402524 0.000000 -1.000000 0.000000 1.000000
-0.359626 0.000000 5.667652 0.000000 -1.000000 0.000000 1.000000
0.736382 0.000000 -3.588291 0.000000 -1.000000 0.000000 1.000000
-0.716721 0.000000 3.200396 0.000000 -1.000000 0.000000 1.000000
1.192692 0.000000 3.582900 0.000000 -1.000000 0.000000 1.000000
-0.675384 0.000000 7.413899 0.000000 -1.000000 0.000000 1.000000
0.239568 0.000000 -3.181588 0.000000 -1.000000 0.000000 1.000000
1.091918 0.000000 5.420168 0.000000 -1.000000 0.000000 1.000000
0.714786 0.000000 -3.155426 0.000000 -1.000000 0.000000 1.000000
0.756954 0.000000 -4.026106 0.000000 -1.000000 0.000000 1.000000
0.974330 0.000000 -3.302297 0.000000 -1.000000 0.000000 1.000000
-1.452428 0.000000 -7.139304 0.000000 -1.000000 0.000000 1.000000
-0.045582 0.000000 4.393148 0.000000 -1.000000 0.000000 1.000000
0.287966 0.000000 2.879015 0.000000 -1.000000 0.000000 1.000000
-0.288321 0.000000 -2.863402 0.000000 -1.000000 0.000000 1.000000
-0.758772 0.000000 4.073563 0.000000 -1.000000 0.000000 1.000000
0.043019 0.000000 -4.335789 0.000000 -1.000000 0.000000 1.000000
1.375460 0.000000 -7.188758 0.000000 -1.000000 0.000000 1.000000
-0.452084 0.000000 2.997693 0.000000 -1.000000 0.000000 1.000000
0.452364 0.000000 -2.989493 0.000000 -1.000000 0.000000 1.000000
-1.227190 0.000000 3.515154 0.000000 -1.000000 0.000000 1.000000
0.309311 0.000000 2.456593 0.000000 -1.000000 0.000000 1.000000
-1.203137 0.000000 -3.368017 0.000000 -1.000000 0.000000 1.000000
-0.309638 0.000000 -2.440729 0.000000 -1.000000 0.000000 1.000000
0.042417 0.000000 2.658895 0.000000 -1.000000 0.000000 1.000000
-0.431078 0.000000 2.574176 0.000000 -1.000000 0.000000 1.000000
0.431358 0.000000 -2.565516 0.000000 -1.000000 0.000000 1.000000
1.077551 0.000000 -5.590909 0.000000 -1.000000 0.000000 1.000000
-0.044664 0.000000 -2.607041 0.000000 -1.000000 0.000000 1.000000
-0.147997 0.000000 2.060201 0.000000 -1.000000 0.000000 1.000000
-0.227379 0.000000 2.954121 0.000000 -1.000000 0.000000 1.000000
-0.694359 0.000000 2.772886 0.000000 -1.000000 0.000000 1.000000
0.266236 0.000000 3.304284 0.000000 -1.000000 0.000000 1.000000
-0.266597 0.000000 -3.289064 0.000000 -1.000000 0.000000 1.000000
0.371209 0.000000 -5.918750 0.000000 -1.000000 0.000000 1.000000
0.681170 0.000000 -7.587207 0.000000 -1.000000 0.000000 1.000000
0.157269 0.000000 -2.223161 0.000000 -1.000000 0.000000 1.000000
0.135884 0.000000 -1.804507 0.000000 -1.000000 0.000000 1.000000
0.692443 0.000000 -2.729913 0.000000 -1.000000 0.000000 1.000000
-1.077424 0.000000 -5.655162 0.000000 -1.000000 0.000000 1.000000
0.143549 0.000000 1.499813 0.000000 -1.000000 0.000000 1.000000
-0.584506 0.000000 -2.096085 0.000000 -1.000000 0.000000 1.000000
-0.126500 0.000000 1.642500 0.000000 -1.000000 0.000000 1.000000
1.881742 0.000000 4.363022 0.000000 -1.000000 0.000000 1.000000
-0.472430 0.000000 3.422357 0.000000 -1.000000 0.000000 1.000000
