x(mm) y(mm) z(mm) px py pz E(MeV)
0.100089 100.000000 2.320151 0.000000 -1.000000 0.000000 1.000000
-1.045508 100.000000 0.992241 0.000000 -1.000000 0.000000 1.000000
-0.476446 100.000000 3.007828 0.000000 -1.000000 0.000000 1.000000
1.927351 100.000000 3.464569 0.000000 -1.000000 0.000000 1.000000
0.485023 100.000000 -0.074728 0.000000 -1.000000 0.000000 1.000000
0.794838 100.000000 -4.896173 0.000000 -1.000000 0.000000 1.000000
-1.397863 100.000000 -4.518056 0.000000 -1.000000 0.000000 1.000000
-1.491843 100.000000 -2.781800 0.000000 -1.000000 0.000000 1.000000
1.093576 100.000000 -6.050587 0.000000 -1.000000 0.000000 1.000000
-1.808951 100.000000 -5.521749 0.000000 -1.000000 0.000000 1.000000
0.350001 100.000000 1.631779 0.000000 -1.000000 0.000000 1.000000
0.772164 100.000000 -0.699123 0.000000 -1.000000 0.000000 1.000000
0.399764 100.000000 1.564429 0.000000 -1.000000 0.000000 1.000000
-0.796432 100.000000 4.940521 0.000000 -1.000000 0.000000 1.000000
0.634617 100.000000 1.110763 0.000000 -1.000000 0.000000 1.000000
1.187366 100.000000 0.623317 0.000000 -1.000000 0.000000 1.000000
-1.003344 100.000000 0.166627 0.000000 -1.000000 0.000000 1.000000
-1.171579 100.000000 -0.901593 0.000000 -1.000000 0.000000 1.000000
-0.350247 100.000000 -1.615785 0.000000 -1.000000 0.000000 1.000000
-1.047069 100.000000 -6.115154 0.000000 -1.000000 0.000000 1.000000
1.328056 100.000000 -1.432176 0.000000 -1.000000 0.000000 1.000000
-0.921691 100.000000 -0.640782 0.000000 -1.000000 0.000000 1.000000
0.093302 100.000000 -0.981703 0.000000 -1.000000 0.000000 1.000000
-1.193158 100.000000 -0.487791 0.000000 -1.000000 0.000000 1.000000
-0.205660 100.000000 2.551382 0.000000 -1.000000 0.000000 1.000000
1.393168 100.000000 4.593951 0.000000 -1.000000 0.000000 1.000000
-1.320382 100.000000 1.330495 0.000000 -1.000000 0.000000 1.000000
1.165414 100.000000 1.035853 0.000000 -1.000000 0.000000 1.000000
-0.490217 100.000000 0.207233 0.000000 -1.000000 0.000000 1.000000
-0.201155 100.000000 -0.358851 0.000000 -1.000000 0.000000 1.000000
0.526281 100.000000 3.187312 0.000000 -1.000000 0.000000 1.000000
0.840592 100.000000 2.198392 0.000000 -1.000000 0.000000 1.000000
-0.093679 100.000000 -2.415099 0.000000 -1.000000 0.000000 1.000000
-0.222657 100.000000 -4.128925 0.000000 -1.000000 0.000000 1.000000
0.997472 100.000000 -0.035023 0.000000 -1.000000 0.000000 1.000000
1.060131 100.000000 -1.272498 0.000000 -1.000000 0.000000 1.000000
-1.409034 100.000000 -7.692700 0.000000 -1.000000 0.000000 1.000000
-1.201099 100.000000 3.111283 0.000000 -1.000000 0.000000 1.000000
-0.774493 100.000000 0.774349 0.000000 -1.000000 0.000000 1.000000
-0.691732 100.000000 -0.862470 0.000000 -1.000000 0.000000 1.000000
1.306424 100.000000 -1.016133 0.000000 -1.000000 0.000000 1.000000
0.391459 100.000000 -6.374456 0.000000 -1.000000 0.000000 1.000000
-1.298355 100.000000 0.915532 0.000000 -1.000000 0.000000 1.000000
-1.340673 100.000000 1.746127 0.000000 -1.000000 0.000000 1.000000
1.207808 100.000000 0.211122 0.000000 -1.000000 0.000000 1.000000
-1.148677 100.000000 -1.310709 0.000000 -1.000000 0.000000 1.000000
1.385500 100.000000 -7.739883 0.000000 -1.000000 0.000000 1.000000
0.207359 100.000000 0.267170 0.000000 -1.000000 0.000000 1.000000
-0.936573 100.000000 2.653536 0.000000 -1.000000 0.000000 1.000000
2.718611 100.000000 -4.353971 0.000000 -1.000000 0.000000 1.000000
-0.693058 100.000000 7.966055 0.000000 -1.000000 0.000000 1.000000
-2.776327 100.000000 6.230710 0.000000 -1.000000 0.000000 1.000000
0.222276 100.000000 4.143005 0.000000 -1.000000 0.000000 1.000000
0.927259 100.000000 0.549032 0.000000 -1.000000 0.000000 1.000000
-0.834045 100.000000 -2.291560 0.000000 -1.000000 0.000000 1.000000
0.688738 100.000000 0.937234 0.000000 -1.000000 0.000000 1.000000
1.230836 100.000000 2.742326 0.000000 -1.000000 0.000000 1.000000
1.791106 100.000000 5.759497 0.000000 -1.000000 0.000000 1.000000
1.756710 100.000000 2.644357 0.000000 -1.000000 0.000000 1.000000
1.734176 100.000000 3.069841 0.000000 -1.000000 0.000000 1.000000
-0.210639 100.000000 3.304692 0.000000 -1.000000 0.000000 1.000000
-1.064530 100.000000 1.400230 0.000000 -1.000000 0.000000 1.000000
1.348114 100.000000 -1.847548 0.000000 -1.000000 0.000000 1.000000
1.618561 100.000000 -2.052893 0.000000 -1.000000 0.000000 1.000000
-1.757811 100.000000 -2.613880 0.000000 -1.000000 0.000000 1.000000
-1.735390 100.000000 -3.039759 0.000000 -1.000000 0.000000 1.000000
0.086765 100.000000 -5.191081 0.000000 -1.000000 0.000000 1.000000
-1.937283 100.000000 -3.243746 0.000000 -1.000000 0.000000 1.000000
-1.629200 100.000000 2.301255 0.000000 -1.000000 0.000000 1.000000
1.142078 100.000000 1.442486 0.000000 -1.000000 0.000000 1.000000
1.477231 100.000000 0.000103 0.000000 -1.000000 0.000000 1.000000
-1.213062 100.000000 -0.075402 0.000000 -1.000000 0.000000 1.000000
2.778533 100.000000 -6.399699 0.000000 -1.000000 0.000000 1.000000
-3.018634 100.000000 -5.255376 0.000000 -1.000000 0.000000 1.000000
-1.479806 100.000000 0.075752 0.000000 -1.000000 0.000000 1.000000
-0.083854 100.000000 0.827256 0.000000 -1.000000 0.000000 1.000000
-1.099787 100.000000 6.250759 0.000000 -1.000000 0.000000 1.000000
2.992409 100.000000 5.617384 0.000000 -1.000000 0.000000 1.000000
-2.710662 100.000000 4.203565 0.000000 -1.000000 0.000000 1.000000
-1.608722 100.000000 1.881481 0.000000 -1.000000 0.000000 1.000000
-2.983332 100.000000 -5.772249 0.000000 -1.000000 0.000000 1.000000
-0.980473 100.000000 -0.237264 0.000000 -1.000000 0.000000 1.000000
1.638182 100.000000 -2.472038 0.000000 -1.000000 0.000000 1.000000
1.596909 100.000000 -1.634470 0.000000 -1.000000 0.000000 1.000000
-0.645486 100.000000 -0.862439 0.000000 -1.000000 0.000000 1.000000
