Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
43.7239 -0.296929 0.0764556 0.589255 -4.56392 15.3817 40.6737
51.9729 -0.0257773 0.292001 0.558962 20.6766 13.6389 45.6907
53.0161 0.0378133 -0.0969343 0.613623 -8.16062 14.3511 50.3802
47.8611 -0.0331383 -0.0155505 0.602185 40.1777 24.9779 7.24911
33.0335 0.319265 0.141622 0.580096 10.3479 -3.24071 31.203
73.7735 -0.348143 -0.593265 0.683378 -28.5536 -38.3457 56.1857
49.6494 0.673334 0.501007 0.529588 42.6539 16.3076 19.4877
69.9674 -0.540921 -0.125176 0.617592 -52.8714 -29.3596 35.1862
38.6127 0.111945 -0.289434 0.640677 6.25645 -27.8362 26.0181
52.6963 -0.174669 0.214912 0.569796 -16.744 7.69736 49.3689
65.7525 -0.484936 0.0790113 0.588896 -46.7611 18.042 42.5592
64.7432 -0.102455 0.403167 0.543339 -36.0424 24.5414 47.8576
36.4033 -0.542996 0.256146 0.564001 -30.6321 -5.17082 18.9772
52.1815 -0.0986993 0.00585736 0.599177 0.387848 -21.5791 47.509
54.0956 -0.292923 -0.11141 0.615658 -11.6177 -29.6025 43.7613
46.9954 0.147806 0.597643 0.516007 23.6979 35.0599 20.4397
59.0421 -0.18028 -0.472763 0.666443 9.41199 -28.2462 50.9856
58.2911 -0.908196 -0.588528 0.682712 -38.5488 -34.5818 26.7571
49.2017 -0.508226 -0.275112 0.638664 -3.70034 -17.4581 45.8512
73.1104 -0.26697 0.553622 0.522194 -23.4504 52.7361 44.879
47.0099 -0.348765 -0.457078 0.664238 -36.8424 -18.9679 22.1988
56.2677 0.185976 -0.0493056 0.606929 22.9262 -19.8519 47.3957
29.2893 0.0683373 0.2074 0.570852 1.47779 -5.02251 28.8176
47.741 0.352634 -0.17582 0.62471 32.2115 -12.6987 32.869
45.3964 0.356735 -0.0984032 0.61383 23.1215 6.08047 38.5909
64.4472 -1.25109 1.47416 0.392821 -48.1255 42.251 7.22686
56.8069 0.607775 -0.107105 0.615053 32.419 -23.3559 40.3799
53.8456 0.217654 -0.129778 0.618239 14.3042 -16.256 49.2999
48.4241 0.279375 0.241082 0.566118 2.76556 30.1236 37.8128
37.0784 -0.227167 -0.0561091 0.607886 -14.6981 -16.865 29.5694
44.9889 0.358264 -0.256034 0.635983 26.6287 -26.2689 24.9972
68.3955 -0.371517 -0.0322933 0.604539 -50.1039 -4.7813 46.3107
65.6402 -0.492085 1.5653 0.380012 -27.2975 58.9416 9.45391
67.7212 0.832665 1.79703 0.347444 49.7346 5.36871 45.6488
32.1896 -0.155325 0.171724 0.575866 -13.0536 -5.97614 28.8107
60.3957 1.32419 -0.353773 0.64972 51.7598 -24.97 18.5757
46.1774 -0.318751 1.07516 0.448897 -18.7914 39.8609 13.7967
45.3415 0.0600383 0.49421 0.530543 15.3804 28.7004 31.5528
48.3167 0.148319 0.495609 0.530347 1.71748 34.1856 34.1014
40.67 0.0172789 -0.181416 0.625496 -11.9507 -11.6759 37.0797
61.2879 0.457605 -0.115699 0.61626 45.4873 -6.93347 40.4851
29.5568 0.0384479 0.464076 0.534778 5.73999 24.3691 15.71
53.5661 -0.123951 0.225446 0.568316 -7.11483 30.6777 43.3311
58.1505 -0.105688 -0.178219 0.625047 -23.4317 -7.22513 52.7279
67.399 -0.00250772 0.00203571 0.599714 -21.0084 -13.437 62.6157
57.9692 -0.179354 0.0753327 0.589413 -14.7919 -25.7906 49.7642
65.2652 0.329219 0.173139 0.575667 10.2035 17.0819 62.1583
48.8892 -0.0554495 0.850572 0.48046 -6.01122 42.5031 23.3989
38.475 0.182883 0.736679 0.496467 9.89366 31.711 19.4128
54.6722 0.034578 -0.115341 0.61621 7.32266 -16.4803 51.6123
36.0204 0.287923 -0.113332 0.615928 19.2798 -19.9032 23.0135
49.0114 -0.902191 0.73321 0.496954 -36.6462 29.3556 14.0506
34.55 -0.194377 0.438369 0.538391 -6.8171 17.3048 29.1166
